tweet	label	length	fold
still really upset ... so hard ! he was my baby . i miss him so much already .	0	0.39	4
razer pro click v .  - -  dpi mouse for mac / pc ( personal computers razer pro solutions v .  mouse . with an un ...	0	0.585	4
pompey in the morning ... back to roll ups	0	0.21	1
i wouldn't care if no one liked me	1	0.17	2
a pint sounded good . then i remembered how broken i was this morning . even thought made me ill again	0	0.51	1
i wanna go to the movies	0	0.12	4
it's cos they are sooo massive	1	0.15	1
gotta admit , when i saw baby bottle pop trending i thought of the jonas brothers commercial from a long time ago . come on who else did too ?	1	0.71	3
i might of eaten it ..	1	0.11	2
why am i still up	0	0.085	5
"x custom picture frame / poster frame . "" wide complete brazilian walnut frame (  this frame is man ..."	0	0.515	3
can't wait to see you	0	0.105	1
hey ! ! how are you doing ? yeah , that's right ... i'm talking to you ! you look great today ... yes .. you	1	0.54	4
"cube carry case for apple ipad + black stylus ( red "" this package includes : . ipad cube case . black stylus """	0	0.555	1
john calvin : sovereign hope ( christian classics bible studies he was loved . he was hated . but he was never ign ...	0	0.59	3
always this . rt  i miss alexisonfire	0	0.185	3
hate not charging my phone at nighttt the worst	0	0.235	4
lol should've listened to me oh well #yellow	1	0.22	2
im scared to get old lol this is one of ly nights that i just stress and break down lol ( (	0	0.455	4
i can't have any chewy things	0	0.145	2
no i'm quitting that place ! get me a job with you ! ! !	0	0.28	5
i see and i listen ... it's ok i'l be fine , , , keep try and always ikhtiar ok slooow	1	0.43	1
i will tho .	1	0.06	5
that's fine tho ... still gonna party ... with or with out you shorrrd ! #icantbeconcerned	1	0.45	5
oh my gosh that little boy !	0	0.14	1
what ? ? ? ( i only got  bestfriend how many u got	0	0.25	3
rt ok ... my twitter have unfollowed everyone , i will follow everyone back once it's working , if you want a follow then follow me retweet !	1	0.705	4
tampa bay buccaneers nfl mouse pad ( quantity of  tampa bay buccaneers - siskiyou nfl mouse pads - tampa bay b ...	0	0.57	5
thinks its funny that  is sitting in his car listening to his radio interview because we don't have one in the house gimp	1	0.605	1
i miss that feeling that i get when i see your name on top of my mentions it's been a while johnny bear , tweet me ? ily <	0	0.61	4
in the middle of our interview with #houseandhome , so cool	1	0.295	2
koa speer . ohm surface mount thick film resistor   % / w ppm rkhe ( continuous strip of  koa ...	0	0.485	1
gusto ku nung jacket nila ! how can i have that ? ( #dangdis ! hate it ! having a long distance with them (	0	0.535	3
rt  aw seriously ! no one followed  for me ? rt if you did so i can follow you !	0	0.4	4
harry always has problems with animals ... except cats while zayn always ends up kissing them and holding them so tight like a baby :')	1	0.675	3
follow me back please	1	0.105	2
"""  #virgo blossoms when left alone with a smart , beautiful lover . "" well that explains why lance is more outgoing now ."	1	0.605	2
"x custom picture frame / poster frame . "" wide complete american maple brown frame (  this frame is m ..."	0	0.525	4
ahhh thanks for the invite man	1	0.15	3
just had a lovely convo with my mom discussing our day . going to bed content tonight	1	0.425	1
lol ok , make sure u look after niall lol , he is so lovely xx	1	0.31	1
for fancychicks rudy'maine ft . fancy - fancy chick ( filmed by : kdgray  via  #prettyracks #pinkcity #pinkmerica	0	0.565	5
fundamentals of game design ( nd edition to create a great video game , you must start with a solid game design ...	0	0.575	5
ima get this skareboard imaginary foundation infinite skate deck - skate decks - store :	1	0.44	5
i guess i can forgive u .. it still wasn't nice !	0	0.245	1
this nap bout to be amazing	1	0.135	1
krs-one releases ( the bdp album ) on itunes . ft #totegunz #timesup #	1	0.35	4
its beautiful xx	1	0.08	2
practice , darling . that's what the mesh cap is for .	1	0.27	1
live life with a smile if people care about making you happy theyll do anything to see you smile its t	1	0.51	2
ohhh & same .. robbie < but he no have twitter :d	0	0.245	4
finally home nice day	1	0.105	5
oh gawsh rt  that song played at skl . i cried . dem laff . hate it . rt  i remember mama in a happy way [ ]	0	0.54	5
ummm he's been in there long enough	0	0.175	1
y u bein so meannn u hung up in my face i was bout to tell u ima ask ! but nvm ..	0	0.405	3
that sucks .	0	0.06	2
suddenly , craving for my  handmade beef burger	0	0.235	1
"""  when i make it out successful in this world all i have to say is that my girlfriend is my success story < "" thats sweet"	1	0.61	2
kinda sad that i missed wizard world toronto	0	0.22	1
:\ me too , i don't remember what it's like haah i've never really been down south	0	0.41	2
you're like the only one who ever retweets me omg	0	0.245	3
did you know female koala's have two vaginas ? just thought i would share	1	0.365	5
found ! yellow lab mix puppy with collar ( park and highland a small yellow lab mix puppy found his ...  #memphispets	0	0.585	4
a little of both , hopefully	1	0.14	5
who is in charge anyway ? : a lesson in growing up with god ( dvd meet the garden gang before they grew up ! sittin ...	0	0.595	1
love it when my life seems to have been taken over by work , and i still don't seem to be getting anything done #cantwaittoleave	0	0.64	2
gap boys july th underwear (  - pack gap boys underwear . - logo elastic waistband . allover stripes or star graphics .	0	0.595	3
"ukey.rt  iya deh kak rt "" echaandre : siip . . . :d rt  echaandre : okee kak , thanks saran'a wkwkwkwk =) ) """	1	0.545	3
#thingsiwanttohappen  . win the lotto $ $ $ ayyye	1	0.245	5
wow thanks makes me feel loads better xxx	1	0.205	5
hope  has a good birthday minus the dumbass sub tweets	1	0.27	5
my throat hurts .. waah	0	0.115	5
i like that song	1	0.08	5
i cried when watching kal ho na ho for the rd time	0	0.25	1
you couldn't handle me even if i came with instructions	1	0.275	5
awww u too cute ! ! i love ur outfit ! ! and the way it wraps around ur body ! ! especially the tutu she made u ! !	1	0.575	1
#ididnttextyouback because well ... i didn't want to . simple enough ? ?	1	0.36	1
my roots are so bad skunk	0	0.125	5
"zubizaretta ( sports director "" we'll have a great advisor , guardiola , who'll be able to tell us how things look from the outside . "" #fcblive"	0	0.72	5
my mom is always sick	0	0.105	4
"nooo ! ! ! he needs me rt ""  i'm devastated ... d rose tore his acl & is done for the season ? during playoffs ? """	0	0.57	1
both are beast bands ! coulda saw periphery but the train i was on on the way out to glasgow to see them broke down .	0	0.585	5
i said why do you hate me ! ! ! your always mean to me . ( (	0	0.3	5
hi frankie , i am running a road safety campaign ( you need this right . ) any chance of some support ,	1	0.515	1
best absolute power still not on the wwt	0	0.2	1
hchu say hi to my old hometown , please	0	0.195	4
hi michael , thanks for the tweet	1	0.165	5
please	0	0.03	3
your thoughts on nicki minaj ? and please can you follow me i love you ! ! xx	1	0.385	3
no worries hun ! xx	1	0.095	1
me and my boo in his coop riding	1	0.16	5
"""  realizing you forgot what you were suppose to do #wow """	0	0.29	2
large silver package protective gear ( elbow / wrist guards a detachable convenience pocket to stash cell phone ...	0	0.575	3
i love zane man , he so entertaining . but im hungry where is my mom with my food ?	0	0.415	4
o xda mini s directsync - complete essentials kit ( cleartouch anti-glare , uk outlet plug the directsync - com ...	0	0.575	3
thanks for the tweet ! please check out  and let us know what you think	1	0.355	3
i need you right now . i need you more then anything right now , just to be there for me . and what do you do ? you don't answer my text < /	0	0.7	5
: o nnnooo ! . only if you land in a lake , nd swim safely to shore )	1	0.345	2
oracle soa suite developer's guide ( paperback this book is a comprehensive guide , split into three sections . t ...	0	0.585	1
i need something to calm me down .. dobbie where u at ?	1	0.275	2
kyuhyun's cmiyc autographed shirt ( the one he was holding up )   v : kikiikyu	1	0.39	1
goreng aja  ikut sedih rt  rip my fish sorry we don't had a chance to get to know yes , hiks hiks ..	0	0.5	1
- you should try wickless candles they're the best !	1	0.26	1
if its with niall you mean its my wedding ... awks	1	0.25	5
thank you  and  looking forward to our next internship experience	1	0.325	2
odac later . why is it stop raininnngg	0	0.19	4
we're is the rainbow though ?	1	0.145	4
i hope you guys are having a great day ! ! !     liz	1	0.26	2
sealed for you :-p rt  wak kangen wak beliin tiket ke sibolga buat kita semua wak :p rt ( cont )	0	0.48	3
sorry shenae ! i can't come over to ur house because i have to go to my moms . i hate having my parents divorced	0	0.56	3
great minds think alike	1	0.115	3
oo try new one to compare which r more suitable for u .	1	0.275	2
. much to care	1	0.07	1
the dug up grave even has real bones in it that's how dedicated i am	1	0.34	2
still need to watch it ! may do over the weekend	1	0.24	5
my parcel from kr came ... but i have to pick it up from the post pffice coz i need to signit	0	0.465	3
when the world stops my heart will beat just for yu	1	0.255	2
don't go from barca , pep guardiola	0	0.175	1
i've got a scratch on my phone screen	0	0.185	2
"rt ""  if i say "" i love you "" . will you promise me to never hurt me again #jujur """	0	0.415	3
bliss sky channel  weak at the kness for the wanted and one direction . i am currently raving to all time low	1	0.545	4
sighhh ... this shit again	0	0.13	5
replacement lamp for canon lcv -   - watt uhp ( with compatible housing replacement lamp for canon lcv -  ...	0	0.545	5
kant wait till somebody show meh sum love in do my bday tweet	0	0.305	2
hey bby ! you never notice me and follow me te amo	0	0.25	4
pissing it down but lovely scenery #countryfolk	1	0.235	2
what time do you come back home ! ! ? ? haha	1	0.22	4
"sophocles i : oedipus the king , oedipus at colonus , antigone ( the complete greek tragedies ) ( paperback "" these a ..."	0	0.605	5
recycled recipes ( audio cd  cd ep from the american singer / songwriter now signed to the lost highway label ...	0	0.565	4
thanks biggie , but lifes got me down right now	0	0.235	5
spider-man - the motion picture dvd trilogy ( spider-man / spider-man  / spider-man  spider man - - dvd movie	0	0.545	2
; can't wait to see everything god has in store for you ! but i am definitly gonna miss seeing you perform tonight !	0	0.58	1
i need likes and rates to level up please  #fubar	1	0.245	2
battery xr -  for dell (  mah , denaq cell count :  capacity : mah compatible parts : - -  ,  - ...	0	0.495	4
time to sleep yay catching some zzz's	1	0.185	2
thanks	1	0.03	3
how the hell have you finished that booklet ? ive got over  pages to complete x	0	0.395	3
thankss love . your the pretty one tho !	1	0.2	3
rt  boy : u remind me of a song . girl : who sings it ? boy : nicki minaj . girl : aw , your love ? super bass ? boy : no , stupid hoe .	1	0.68	4
lol ! loco ! i haven't gone to a club in a long time . paresco viejita .	0	0.36	2
big announcement coming up within the next week	1	0.235	1
i just wrote this ( tell me what you think	0	0.21	2
please follback	1	0.075	1
smile , because although you may be having a bad day , you have food , clean water , clothes , a home and your health . you are blessed ...	1	0.695	2
going thru this right now !	0	0.135	5
take me back to tuesday night please still can't get over how incredible  were !	0	0.4	3
he just spoke to me in fluent french ... #winning them panties wet ...	1	0.35	3
lls . k , emilyyy you have my numbaaa	1	0.185	2
i made her feel a lot better she say i love my g & gone be there for her regardless	1	0.415	1
yeah no matter what weather has to go out every day	1	0.255	5
couldn't find some nice stickers to decorate my mac ...	0	0.275	3
i hate that i missed #glee but it's been a good night indeed	1	0.3	4
i just got home then i opened my bag and screamed when i seen this  >	0	0.345	2
rt  dera the best dah	1	0.105	4
i love how crowley is always disappearing cause he's just awesome like that .	1	0.385	1
inooo bbz , it's been sooo long ! i miss you too ! i'm good thankyah , yourself ? :d	0	0.42	4
need to start revising for biology	0	0.17	2
#yougetmajorpointsif you send me goodmorning and goodnight texts	1	0.32	1
no lol i teared up tho	0	0.11	3
to join  you have forgot to donate eur as described here	1	0.28	1
days and then im free yay ! ! !	1	0.155	3
there's no such thing . . have a safe trip !	1	0.22	3
aw my baby ! look at how majestic he looks ! and yours .. well , hm dopey bless him !	1	0.425	3
i see different creatures i need help i think am reminiscing	1	0.3	3
jaguars place cb cox on ir , sign qb lefevour ( pa sportsticker the jacksonville jaguars have placed cornerback ...	0	0.575	1
adaptations : disquisitions on psychoanalysis ( paperback what do the perfection of seville orange marmalade by ...	0	0.575	1
my brother is telling me to write a college essay on who my idols are , so one direction it is	1	0.47	5
new video from france , like comment and share please ! thx for watch	1	0.345	2
wow my babes amazing < come home to a clean room .  u are so amazing <	1	0.35	5
my new friend ! ! ha i'll need someone to come with me so you wanna come ? ? x	1	0.39	1
... i get angry when i'm tired and stressed	0	0.215	5
we know what ur doing this afternoon	1	0.18	3
oh no ! that's horrible ! : < what ya'll gonna do now ?	0	0.275	2
me and  gone be together when we go off to college .	1	0.26	5
felicity : season two ( dvd studio : buena vista home video release date : / /	0	0.39	2
follow back ? pleasee ( (	1	0.125	3
"cactus work boots men's cactus work boots l black  ( black  "" dress , leather outsole . produced in mexico . ..."	0	0.56	2
it's a ring yo ! only white people wear it doe	0	0.23	1
because i didn't find the person that really deserves love	1	0.29	3
paaahahahahaha  you are the funniest person ever ! ! #towie	1	0.295	2
thanks for the mention in the poetry daily	1	0.21	2
excuse me while i go die in a corner because of this tragedy tweet me everyday still ! <	0	0.44	4
the ancestor the acorn and the oak ( the arborillian legends who knows what we are capable of ? is magic just a ...	0	0.575	4
#oomf should go to the movies w / me this weekend ..	1	0.26	5
"add bbm .. mau sharert  lemme tell u . promote ur friend's pin blackberry on pm is .. iuw . """	0	0.465	3
could have told you that big man !	1	0.17	5
essentials of kinesiology for the physical therapist assistant ( paperback with clear , concise explanations and ...	0	0.58	2
"sorry d: ill say hi monday ! ""   i'm sorry ! you just always look busy or distracted """	0	0.43	3
nigerian lines are all cursed ooo	0	0.165	4
and hurtful lol whats up what u doing ?	0	0.195	2
talk to someone that cares x	1	0.14	4
yh i am xxx	1	0.055	4
ugh probably working everyday this week again	0	0.225	4
laughing for no reason ( ( =) ) ) with	0	0.19	5
ever consider the occupation of a glass blower hehehehe	1	0.275	3
#itscrazyhow someone can quit at something they are so good at ...	0	0.33	5
creative light speed ring  alien bees / white lightning x series ( silver this new speed ring is designed f ...	0	0.555	3
"x custom picture frame / poster frame  "" wide complete black satin mica smooth frame (  this frame is ..."	0	0.525	4
i fuck ppl up on twitter sorry you can't hang	1	0.225	5
positive options for reflex sympathetic dystrophy ( rsd self-help and treatment ( positive options ) ( paperback ...	0	0.58	2
daily tarot readings for  : birth date march rd ( daily tarot readings  daily  card tarot readings for ...	0	0.53	4
heyy i won't be in class tomorrow but , i'll bring you your starbucks next week for your bday ! !	1	0.485	3
it's going to be a great night cassie ! woohoo ! ! ! i can't wait	1	0.325	4
nautica shirred tankini top halter ( this beautiful tankini top has a beautiful rope overlay , and shirred side ...	0	0.575	4
spiritual nutrition and the rainbow diet ( paperback when we eat , can we feed the soul as well as the body ? can ...	0	0.585	2
ahahah , thankyou deh	1	0.105	2
nobody knows how hard this is , how scared and confused i am .	0	0.31	3
video teaser r.d.millz - i'm good ( feat mk-p  watch and retweet !	0	0.33	2
back in the uk now , get used of it ! hope your feeling better xxx	0	0.33	5
but i miss my other best friend  come home please . #ineedyou	0	0.305	4
damn ... i want to teach this white boy in my class how to dance to reggae he's so hot ...	1	0.45	5
i miss you too are you at school tomorrow ? i finish at  tomorrow so i could run to try catch you quick if your not busy ? <	0	0.62	3
i wish  and  went to the same school	0	0.18	1
has me dying * haha	0	0.095	4
nothing happen kk :p rt  what happen ? ? #tibatibamuncul hehehe rt   what ? not again ..	0	0.44	4
unfortunately no one cares about the legends so they look at nicki minaj and ja rule examples of embarrassments	0	0.555	5
poor boy ! #bgt want to just cwtch him up ! ! !	0	0.235	3
f * ck this boring life >	0	0.125	5
death by supermarket : the fattening , dumbing down , and poisoning of america ( paperback although americans wors ...	0	0.59	1
we get vip access to the concert , a free copy of shut up and kiss me and get to ask him a question x	1	0.505	1
had a lot of unfollowers recently . i'm unlovable .	0	0.255	2
critical reasoning  ( veritas prep gmat series building on the lessons in critical reasoning  , this book pres ...	0	0.57	2
reece wont let me marry his cat	0	0.155	1
yea they want to find me and my was good why was yours alright didnt sound to good ?	1	0.42	2
we've got  #lal progs at the hut . come & grab one . #nopurchasenecessary but giddy as a kipper if you do #leeds	1	0.56	4
rules for texting a girl :  ) reply back quickly .  ) keep her entertained .  ) ask questions .  ) use the face .  . no one-word texts .	1	0.68	3
thank you try to tweet it to your friends	1	0.205	2
upshaw might be picked by the chargers :d thats whats up ... get it upshaw whats up haha	1	0.44	5
well said , l can't imagine what some parents go through .	0	0.29	3
ayeee cutiesss stopp waddchuu doingg & catchh my birthdayyy tweet at :	1	0.35	2
"say something in spanish , for example . , "" hola "" , "" te amo "" , "" te quiero "" please please"	0	0.47	2
vinnie jones ' hard and fast hands-only cpr ( funny tv advert  via	0	0.33	5
i think elise is going home #idol she is just not there	0	0.275	3
aayyee ! rt   s t r x c has a show on / /  at : pm @ vortex marion n ( cont )	1	0.385	4
hello liam ! how are you ? i'm french fan ! follow me please beauty ? x	1	0.355	5
the worst way to miss a person is to be sitting right beside them knowing things will never be the same .	0	0.525	3
"x custom picture frame / poster frame  "" wide complete gray rustic pine frame (  this frame is manufac ..."	0	0.53	2
narnia theme for blackberry	1	0.135	4
hey girl , we were the losers again flamengo is in terrible fase	0	0.32	3
* adds wet sponge to list *	1	0.135	2
what am i going to do w / out you next yeaaar < /  you're def replacing me	0	0.37	3
awww imu too babe rt   hmu tho ) ) )	1	0.18	2
"but i do rt  never rt ""  - - - rt  if ur mom tripped and fell , would you laugh at her ? """	0	0.45	3
follow back please ?	1	0.1	3
shoutout ? rt this . i will shoutout random . ( follow me first )	1	0.325	1
- _ - no i don't ... lol and i'm not sleepy !	0	0.225	1
i love your dress tonight on #celebjuice  ! )	1	0.225	1
from where exactly ?	1	0.1	5
ooo time to watch the little paris kitchen whilst having croissants and coffee - perfect friday morning treat	1	0.545	4
( v .  speed is  mh / sec .  curr jobs :  done ,  idle ,  active : id ( imei xxx  . % ) , ela : d h m s , eta : d h m s	0	0.595	2
nothing to say , he's perfect !	1	0.155	4
damn straight u are lol and i'm going to get my his and shit tomorrow i'm pumped	1	0.4	3
lol well you deserve it oilei o kesaia that bimbo lol crazzyyy itch #partylikearockstar	1	0.435	5
pancit canton and mango shaaake   yummmy ! :	1	0.22	3
i'm retweeting anything funny . if its about you and you get offended i apologize ( not really ) #subtweetwar	1	0.545	5
come on then ... you bring the money , i'll bring the moves ! !	1	0.315	2
haha why thank you ! xx	1	0.115	3
"""   no never that .. "" says the one that loves ... wait , this ain't for twitter !"	1	0.41	4
"it should be "" be the inspirator "" kata  be inspired ini juga ngingetin aku sama peserta taun lalu hihih"	1	0.52	3
the  best fondue recipes ( paperback think of food that s made for enjoying in the company of family and fri ...	0	0.56	4
"fix this "" hey ! ? ... foool  "" ."	1	0.165	1
hmph gee thanks	0	0.075	2
i saw your mom yesterday at berea ! we chit chatted . you were at tri-c workin on a project !	1	0.465	4
aw so cute . it's times like this when i wish i still lived in christchurch xxx	0	0.395	2
"hey ! check out the "" business cards "" of the israeli street team please & rt"	1	0.385	5
okay nigga ! that's why next time you're gunnu get trippy ... like smokers club concert trippy lol	1	0.49	3
shet ! nabuksan ko twitter ko its a miracle )	1	0.225	3
will do + aye whatever it'll be a piece of piss hahah ! : l awww tidy ! whens the s night ? xx	1	0.47	3
hi liam ... my friend will have a birthday .. you would not want i will come to the party please ?	1	0.49	3
because your twitter is private	0	0.155	4
rt  hide the frankenstein syrup this morning ! let the kids use fresh fruit to sweeten their whole-grain waffle breakie !	1	0.605	4
magnaflow hm universal catalytic converter ( non carb compliant magnaflow universal catalytic converter is ...	0	0.55	4
summer job ? where ?	1	0.1	3
, you can come surfing in my pool ?	1	0.175	2
your suppose to be my bestfriend	0	0.16	4
majority of my close friends are going away got college #sadtweet	0	0.325	4
you're good to me	1	0.085	1
i get out of work at to but after take a trip and go to the cookout lol . you ?	1	0.395	5
"""  swans only have one partner for their whole life if their partner dies they could pass away from broken heart . "" awww"	0	0.605	4
missed my  , oooth tweet dammit .	0	0.165	3
me : goodnight him : wtf ! no goodnight ! i want to text you ! im fightin my sleep cuz i wana talk to u me : o_o that was kinda nice ? are u sick ?	1	0.735	2
"this girl i don't like changed her facebook status to : "" suicidal , standing on the edge of a cliff .. "" so i poked her ..."	1	0.62	1
reading romeo and juliet is like reading in a different language .	0	0.33	4
i always feel sad when i see someone saying one of the boys or all of them follows	0	0.41	4
i gaved too much and now i'm giving up	0	0.19	1
hi there rt   xoxo	1	0.09	4
this girl on #thevoice just said shit lol	1	0.205	2
i wish my sister was in cleveland	0	0.165	1
bet i've worked more in city corporate life than you have	1	0.285	1
thanks rt  kisahhorror : cool gotta check out your tweet on tomorrow then	1	0.365	2
"-  viton quad-ring , a durometer , black , - /  "" id , - / "" od , / "" width ( pack of  this viton quad-ring ..."	0	0.555	2
ugh haven't gotten a massage in two weeks so damn achy	0	0.27	5
port of miami ( audio cd sometimes , if you put your hand on the rails , you can feel the train coming . it's in t ...	0	0.59	2
thanks lol but why are your tweets private now i can't retweet	0	0.31	3
cause i'm weakkk rt   glad i can make to day	1	0.22	4
ook cool try n hurry up ... tri doing d thing mar or saturday	1	0.305	5
just woken up how beautiful morning !	1	0.185	4
"x custom picture frame / poster frame .  "" wide complete natural wood frame ( ash this frame is manuf ..."	0	0.525	5
takes skill to score with your pad aha . my pad was near enough on my calf after that . aha .	1	0.465	3
woowhooo ! got the trampoline set up ! joeyswifey	1	0.245	4
goodnight ill see tomorrow budddie	1	0.17	5
lol ok jeans and js	1	0.095	1
haha well maybe you should try to put some effort in it	1	0.275	4
i do take it wrong >	0	0.1	4
so uhm friday should be interesting	1	0.175	4
i love playing with my little curls	1	0.175	4
i googled the balance of payments uk and a pdf came up with a table . i don't remember exactly what it was called sorry x	0	0.605	1
* hangs head in shame * i am not a real die-hard dc fanatic i thought i was .	0	0.385	3
lexerd - htc touch viva truevue anti-glare pda screen protector ( dual pack bundle the lexerd truevue is creat ...	0	0.57	4
doggy want the kitty . give me a heart attack and throw it back , now watch me get it	1	0.425	2
day and  week till prom	1	0.115	5
hehehehe rt :  i'm surrounded by deados ...	0	0.215	4
hi liam #follow me and  please , it's our dream x	1	0.245	2
"rt ""  ""  i drove all the way to vegas . can i get a handclap ? "" * starts clapping * """	1	0.43	5
are you calling us  year olds : o i'm torn how many times you met them ? xx	0	0.375	4
channelmaster internet to tv  - port coax switch ( cm -  the channel master cm internet-to-tv  - port coax ...	0	0.55	4
why don't i live in australia	0	0.145	2
"x custom picture frame / poster frame  "" wide complete olde world silver frame (  this frame is manufa ..."	0	0.53	3
the last juror ( paperback in  , one of mississippi s more colorful weekly newspapers , the ford county times ...	0	0.565	3
shoutout to my new follower	1	0.135	5
i'll fix mine later and nah , just learned a bit from dora . hahahahahahaha .	1	0.385	5
it won't lettt mee dm you	0	0.125	3
yay ! and we can give her something to read when she wakes up .	1	0.315	1
anonymous asked : sa underarm mo , what method do you use for removing armpit hairs ? waxing ? shaving ? ...	1	0.54	5
#beliebers follow me and i will continue them back	1	0.25	2
it is so nice outside why am i inside #schoolproblems	0	0.265	1
i know , i wish i was sooo pretty & had gorgeous hair like that , jeeez i just want her hair so bad	0	0.495	1
np : katty perry hold and cold	1	0.15	2
overdosed on confidence	1	0.115	3
hehe aah i know whyyy haha	1	0.13	5
cleveland curiosities ( oh eliot ness and his blundering raid , a busker's promise , the richest heiress who neve ...	0	0.585	1
that's more like it  my grades are really good ! no.stress	1	0.29	2
patriot memory ( direct ) supersonic magnum  gb flash drive - black ( pef gsmnusb the patriot memory superso ...	0	0.56	3
? ? ? take a compliment reag but i know	0	0.195	3
"( ( ""  feel ko "" paranoid mode "" ako buong senior year . first , dahil mag college na . next , baka mag end of the world . """	0	0.62	1
i'm the girl on the right ... ( in my rizzo disguise ) mouhaha ! : $	1	0.34	5
#  : gutenberg the geek ( kindle single gutenberg the geek ( kindle single ) jeff jarvis ( author ) sales rank in k ...	0	0.595	2
; i'm sad but its okay , we still got graduation ! pictures then ! lol .	0	0.36	1
thanks rt  aww happy one year	1	0.145	1
tf yhu did ? rt  i was real for what i did lastnight	1	0.26	1
losing ur eyes  disapper .. pray ur dreams will leave u here	1	0.3	3
sorry , my aunt flow is here !	1	0.15	1
i will later , i am on follow limit at the moment xx	1	0.26	4
ers travel to play saints on a short week ( mnf game vs . bears six days earlier new england has a short week before facing ers in dec .	0	0.68	5
#twitterbestfriends     xxx	1	0.135	5
#thoughtsduringschool that boom boom sauce is hella good	1	0.28	3
hard candy cases candy convertible case for asus eee pad transformer tf , blue , ( cs-asus-blu the candy conve ...	0	0.57	4
arthur & george ( hardcover from one of englands most esteemed novelists , an utter astonishment that captures ...	0	0.57	5
thank you very much everyone night night to alll	1	0.24	1
kinda feel like i'm about to throw up ...	0	0.205	2
me too ! what are they gonna do on the show now ?	0	0.245	4
really don't want to see tomorrow	0	0.165	4
i know ! ! stupid school policy ! !	0	0.175	5
glad i could help ! ! !	1	0.115	3
for the first time ever i can agree on that ! iv started reading and i actually like it	1	0.435	3
what the heck happened to disney channel ...	0	0.22	4
#youngmoney | | tone trump - get got ( feat jae millz & freeway new release from tone trump called & # ..	0	0.525	4
i miss you so much , and i wish i could see you every day ... come to lewes fool	0	0.4	3
gooing to cry forever with  because  will never notice us urghhh this ugh	0	0.365	5
past  months :  dance shows ,  tac show week ,  auditions , wales , devon , dorset , london , work , life , rehearsals , dance . now its all over	0	0.725	2
demi you breathe taking sun of a gun you . i love you	1	0.265	4
sorry i ran out of minutes ! ! i miss u tooo much	0	0.245	4
men's jeans from just  !  shop now !	1	0.18	1
someoneee lemme know if gurnee has a line for the s . pwease	0	0.3	3
girl it feels worse than being outside especially when you just wake up !	0	0.365	1
shout out to  tweet me if na-follow niyo na siya .	1	0.25	4
active learning :  strategies to teach any subject ( paperback the only book to cover active learning in the ...	0	0.56	4
amaciam ? get to eat donut ? :  nope	0	0.18	2
"i shead a tear for u my nigga . #pause cuz u got "" kit kats "" on deck tho . im no fool"	0	0.43	1
hope you feel better soon when ya back ? ? xx	0	0.225	1
no ! properly kicked myself after i've said it before in a letter though but its not the same is it yes ! ! best day	0	0.58	3
now that's a rice krispies treat ) ) #yummy	1	0.215	3
aww how cute okay < hopefully my mom don't get bootyhurt cause it's her birthday saturday : l	1	0.465	2
blehh ankle kills , tummy still bloody hurting , no sleep for me tonight	0	0.36	3
i haven't been on a date in forever ... i gotta dust off my game hahaha	1	0.355	1
yea but i leave on friday at noon for the whole weekend (	0	0.285	3
ipad capacitive stylus retractable ( jet black capacitive stylus allows you to use your apple ipad or iphone wi ...	0	0.575	1
thanks for following me	1	0.115	1
